crash_date,crash_time,borough,zip_code,latitude,longitude,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,collision_id,vehicle_type_code1,location.latitude,location.longitude,location.human_address,on_street_name,off_street_name,vehicle_type_code2,contributing_factor_vehicle_3,vehicle_type_code_3
2025-09-30T00:00:00.000,16:40,QUEENS,11691,40.605335,-73.75527,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,4846690,,40.605335,-73.75527,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",MOTT AVE,BEACH CHANNEL DR,,,
2025-09-30T00:00:00.000,9:39,BROOKLYN,11208,40.681488,-73.875046,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,4846381,Station Wagon/Sport Utility Vehicle,40.681488,-73.875046,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",CHESTNUT ST,DINSMORE PL,Box Truck,,
2025-09-30T00:00:00.000,13:13,BRONX,10460,40.83986,-73.88814,,1,0,0,0,0,0,1,0,Unsafe Speed,Traffic Control Disregarded,4846496,Sedan,40.83986,-73.88814,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",E 175 ST,WATERLOO PL,E-BIKE NO,,
2025-09-30T00:00:00.000,10:48,BROOKLYN,11234,40.641186,-73.919556,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4846312,Bus,40.641186,-73.919556,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",RALPH AVE,PRESTON CT,Station Wagon/Sport Utility Vehicle,,
2025-09-30T00:00:00.000,16:35,,,40.667236,-73.770004,,0,0,0,0,0,0,0,0,Other Vehicular,Passing or Lane Usage Improper,4846454,Station Wagon/Sport Utility Vehicle,40.667236,-73.770004,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",BELT PARKWAY,,Bus,,
2025-09-30T00:00:00.000,12:56,,,40.630333,-74.0405,,4,0,0,0,0,0,4,0,Failure to Yield Right-of-Way,Unspecified,4846444,Sedan,40.630333,-74.0405,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",BELT PARKWAY,,Sedan,,
2025-09-30T00:00:00.000,17:00,BRONX,10454,40.808434,-73.92337,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4846538,Station Wagon/Sport Utility Vehicle,40.808434,-73.92337,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",WILLIS AVE,E 137 ST,Bike,,
2025-09-30T00:00:00.000,10:00,STATEN ISLAND,10306,40.576885,-74.09703,400       HAMDEN AVE,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,4846864,Station Wagon/Sport Utility Vehicle,40.576885,-74.09703,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,Station Wagon/Sport Utility Vehicle,,
2025-09-30T00:00:00.000,4:44,BROOKLYN,11224,40.57811,-73.99262,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,4846830,Station Wagon/Sport Utility Vehicle,40.57811,-73.99262,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",W 25 ST,NEPTUNE AVE,Bike,,
2025-09-30T00:00:00.000,13:20,BROOKLYN,11221,40.68949,-73.92207,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,4846671,Sedan,40.68949,-73.92207,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",GATES AVE,BROADWAY,Sedan,,
