crash_date,crash_time,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,collision_id,vehicle_type_code1,vehicle_type_code2,latitude,longitude,location.latitude,location.longitude,on_street_name,off_street_name,borough,zip_code,contributing_factor_vehicle_3,vehicle_type_code_3,cross_street_name,contributing_factor_vehicle_4,vehicle_type_code_4,contributing_factor_vehicle_5,vehicle_type_code_5
2012-07-02T00:00:00.000,19:32,0,0,0,0,0,0,0,0,Physical Disability,Unspecified,272575,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,40.7565800,-73.9297516,40.75658,-73.9297516,31 STREET                       ,36 AVENUE                       ,QUEENS,11106,,,,,,,
2012-07-02T00:00:00.000,7:05,0,0,0,0,0,0,0,0,Unspecified,Unspecified,94874,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,40.8942077,-73.8489364,40.8942077,-73.8489364,WICKHAM AVENUE                  ,BUSSING AVENUE                  ,BRONX,10466,,,,,,,
2012-07-02T00:00:00.000,17:30,1,0,0,0,0,0,1,0,Outside Car Distraction,Unspecified,255004,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,40.7356334,-73.8760160,40.7356334,-73.876016,QUEENS BOULEVARD                ,55 AVENUE                       ,QUEENS,11373,,,,,,,
2012-07-02T00:00:00.000,19:40,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,175822,PEDICAB,SPORT UTILITY / STATION WAGON,,,,,FLATBUSH AVENUE                 ,GRAND ARMY PLAZA                ,,,,,,,,,
2012-07-02T00:00:00.000,9:00,0,0,0,0,0,0,0,0,Unspecified,Unspecified,213215,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES) ,40.7350192,-73.8960291,40.7350192,-73.8960291,MAURICE AVENUE                  ,69 STREET                       ,QUEENS,11377,,,,,,,
2012-07-02T00:00:00.000,15:50,3,0,0,0,0,0,3,0,Failure to Yield Right-of-Way,Unspecified,238656,PASSENGER VEHICLE,PASSENGER VEHICLE,40.7515018,-73.9027562,40.7515018,-73.9027562,BROADWAY                        ,59 STREET                       ,QUEENS,11377,,,,,,,
2012-07-02T00:00:00.000,8:30,0,0,0,0,0,0,0,0,Unspecified,Unspecified,203695,PASSENGER VEHICLE,PASSENGER VEHICLE,40.6926172,-73.8215219,40.6926172,-73.8215219,125 STREET                      ,97 AVENUE                       ,QUEENS,11419,,,,,,,
2012-07-02T00:00:00.000,17:50,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,219420,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,,HOOK CREEK BOULEVARD            ,149 ROAD                        ,,,,,,,,,
2012-07-02T00:00:00.000,5:35,0,0,0,0,0,0,0,0,Unspecified,,219403,PASSENGER VEHICLE,,40.7140895,-73.7531219,40.7140895,-73.7531219,JAMAICA AVENUE                  ,207 STREET                      ,QUEENS,11428,,,,,,,
2012-07-02T00:00:00.000,1:00,0,0,0,0,0,0,0,0,Other Electronic Device,Unspecified,2918661,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,,,,,,,,,,,,
